orderid,customerid,orderplaceddatetime,ordercompletiondatetime,orderstatus
137,1,1999-11-25 06:26:34,1999-11-25 06:26:34,Cancelled
138,3,2017-10-07 22:09:59,2017-10-07 22:09:59,Completed
139,1,2009-09-15 19:07:28,2009-09-15 19:07:28,Completed
140,1,2009-09-25 21:39:47,2009-09-25 21:39:47,Cancelled
141,10,2010-06-17 16:30:51,2010-06-17 16:30:51,Completed
142,7,2005-09-06 06:03:48,2005-09-06 06:03:48,Cancelled
143,4,1971-11-25 18:44:32,1971-11-25 18:44:32,Cancelled
144,8,2002-02-09 10:06:36,2002-02-09 10:06:36,InProgress
145,6,1975-04-18 22:07:23,1975-04-18 22:07:23,InProgress
146,6,2016-05-06 21:11:14,2016-05-06 21:11:14,Completed
147,1,2011-04-21 01:28:12,2011-04-21 01:28:12,Cancelled
148,9,1984-02-14 21:29:00,1984-02-14 21:29:00,Cancelled
149,9,2016-02-16 20:45:21,2016-02-16 20:45:21,Completed
150,6,1986-03-18 06:13:41,1986-03-18 06:13:41,Completed
151,10,2010-07-25 21:45:09,2010-07-25 21:45:09,Completed
152,5,2003-10-15 04:41:39,2003-10-15 04:41:39,Completed
153,5,1990-04-16 00:56:34,1990-04-16 00:56:34,Completed
154,10,1970-04-21 03:25:20,1970-04-21 03:25:20,InProgress
155,3,2016-09-13 17:20:17,2016-09-13 17:20:17,InProgress
156,1,1982-02-16 02:20:33,1982-02-16 02:20:33,Completed
157,10,2004-03-13 05:01:25,2004-03-13 05:01:25,Completed
158,1,1978-07-21 17:43:28,1978-07-21 17:43:28,Cancelled
159,5,1986-05-30 11:15:36,1986-05-30 11:15:36,Cancelled
160,5,2011-03-21 11:36:16,2011-03-21 11:36:16,InProgress
161,10,1971-08-23 11:34:51,1971-08-23 11:34:51,Cancelled
162,10,1972-05-19 11:37:29,1972-05-19 11:37:29,Completed
163,6,1973-03-20 11:05:45,1973-03-20 11:05:45,Completed
164,8,1990-09-30 06:31:02,1990-09-30 06:31:02,Completed
165,7,1997-09-30 08:44:40,1997-09-30 08:44:40,InProgress
166,3,2014-02-18 05:17:31,2014-02-18 05:17:31,Completed
167,8,2003-07-20 02:40:22,2003-07-20 02:40:22,Cancelled
168,10,2012-10-09 02:30:13,2012-10-09 02:30:13,Cancelled
169,8,1971-09-08 05:11:32,1971-09-08 05:11:32,Cancelled
170,10,1995-12-22 22:01:37,1995-12-22 22:01:37,Cancelled
171,1,2000-06-03 11:01:52,2000-06-03 11:01:52,Cancelled
172,6,1997-10-01 20:23:20,1997-10-01 20:23:20,Cancelled
173,9,2006-03-03 15:41:34,2006-03-03 15:41:34,Completed
174,5,1983-07-01 04:40:54,1983-07-01 04:40:54,InProgress
175,4,1995-08-04 17:07:11,1995-08-04 17:07:11,Cancelled
176,8,1993-05-09 00:52:51,1993-05-09 00:52:51,Cancelled
177,1,1978-08-22 13:44:21,1978-08-22 13:44:21,Cancelled
178,10,2017-01-13 17:06:07,2017-01-13 17:06:07,Cancelled
179,4,1975-12-30 19:37:52,1975-12-30 19:37:52,Completed
180,9,1995-11-29 20:22:31,1995-11-29 20:22:31,Completed
181,3,1999-04-16 21:38:05,1999-04-16 21:38:05,InProgress
182,7,1980-12-13 20:21:15,1980-12-13 20:21:15,Cancelled
183,1,2018-11-14 07:37:53,2018-11-14 07:37:53,InProgress
184,9,1992-11-22 00:25:59,1992-11-22 00:25:59,Cancelled
185,4,2010-11-07 12:21:00,2010-11-07 12:21:00,Completed
186,4,1992-02-15 08:01:24,1992-02-15 08:01:24,Cancelled
187,2,1979-12-21 15:32:28,1979-12-21 15:32:28,InProgress
188,3,2015-08-07 04:12:15,2015-08-07 04:12:15,Completed
189,7,2015-06-14 23:30:43,2015-06-14 23:30:43,InProgress
190,5,2011-10-24 15:08:08,2011-10-24 15:08:08,Cancelled
191,9,1989-09-28 08:45:07,1989-09-28 08:45:07,Completed
192,8,2019-10-23 08:16:53,2019-10-23 08:16:53,Completed
193,10,2007-07-23 16:22:57,2007-07-23 16:22:57,Completed
194,1,2005-03-19 00:48:14,2005-03-19 00:48:14,Cancelled
195,5,1988-05-12 21:44:01,1988-05-12 21:44:01,InProgress
196,8,1983-08-13 22:04:14,1983-08-13 22:04:14,InProgress
197,3,1983-12-24 00:49:05,1983-12-24 00:49:05,Cancelled
198,10,1990-08-07 01:35:45,1990-08-07 01:35:45,Completed
199,4,1995-01-03 04:25:33,1995-01-03 04:25:33,InProgress
200,3,1974-03-27 01:06:38,1974-03-27 01:06:38,InProgress
201,7,1983-02-28 00:32:37,1983-02-28 00:32:37,InProgress
202,1,1984-11-09 04:49:24,1984-11-09 04:49:24,InProgress
203,7,1983-07-17 21:55:38,1983-07-17 21:55:38,InProgress
204,9,1993-02-03 18:17:41,1993-02-03 18:17:41,InProgress
205,5,2010-04-01 23:35:03,2010-04-01 23:35:03,Completed
206,5,1981-05-30 02:57:13,1981-05-30 02:57:13,InProgress
207,5,1984-10-06 17:57:46,1984-10-06 17:57:46,Cancelled
208,5,1980-03-12 18:22:58,1980-03-12 18:22:58,Completed
209,8,1979-07-06 01:06:01,1979-07-06 01:06:01,InProgress
210,5,2017-01-29 06:49:49,2017-01-29 06:49:49,Completed
211,7,1999-08-23 07:02:05,1999-08-23 07:02:05,Completed
212,5,2003-12-23 08:27:20,2003-12-23 08:27:20,Completed
213,10,2007-05-23 16:12:39,2007-05-23 16:12:39,Completed
214,5,2006-09-04 07:49:28,2006-09-04 07:49:28,Cancelled
215,4,2018-11-21 08:38:47,2018-11-21 08:38:47,Completed
216,5,2016-08-26 19:14:51,2016-08-26 19:14:51,Completed
217,6,1985-11-05 15:54:00,1985-11-05 15:54:00,Completed
218,2,1989-09-01 05:28:41,1989-09-01 05:28:41,Cancelled
219,7,1995-10-08 10:48:05,1995-10-08 10:48:05,Cancelled
220,2,1970-10-27 15:03:56,1970-10-27 15:03:56,Cancelled
221,10,1979-03-19 03:33:43,1979-03-19 03:33:43,Completed
222,10,2011-09-12 00:31:10,2011-09-12 00:31:10,Completed
223,1,1976-05-16 20:54:39,1976-05-16 20:54:39,Completed
224,3,2016-01-09 13:07:59,2016-01-09 13:07:59,Cancelled
225,7,2013-07-21 15:28:54,2013-07-21 15:28:54,Cancelled
226,1,1999-07-13 14:15:45,1999-07-13 14:15:45,Cancelled
227,9,1985-02-26 19:34:34,1985-02-26 19:34:34,Completed
228,9,1989-07-11 04:37:29,1989-07-11 04:37:29,Cancelled
229,8,2006-08-13 05:17:30,2006-08-13 05:17:30,InProgress
230,6,2004-03-09 07:55:25,2004-03-09 07:55:25,InProgress
231,10,1987-10-16 18:58:52,1987-10-16 18:58:52,Completed
232,9,1987-07-02 03:20:20,1987-07-02 03:20:20,Completed
233,1,1998-04-16 05:28:31,1998-04-16 05:28:31,Completed
234,10,2019-05-10 08:36:46,2019-05-10 08:36:46,Cancelled
235,10,2004-01-18 23:07:19,2004-01-18 23:07:19,InProgress
236,8,2017-01-27 05:50:43,2017-01-27 05:50:43,InProgress
237,5,2003-12-27 13:37:05,2003-12-27 13:37:05,InProgress
238,9,2006-11-25 23:48:57,2006-11-25 23:48:57,Completed
239,8,1989-03-22 07:13:03,1989-03-22 07:13:03,InProgress
240,7,1998-11-01 21:59:57,1998-11-01 21:59:57,Cancelled
241,6,2016-03-23 14:09:58,2016-03-23 14:09:58,InProgress
242,4,1995-09-19 19:01:12,1995-09-19 19:01:12,Cancelled
243,6,2007-09-20 10:04:51,2007-09-20 10:04:51,InProgress
244,8,2002-06-22 20:38:31,2002-06-22 20:38:31,Completed
245,4,1977-09-01 07:43:58,1977-09-01 07:43:58,InProgress
246,10,1986-05-12 15:23:35,1986-05-12 15:23:35,InProgress
247,9,1974-09-05 18:57:30,1974-09-05 18:57:30,Completed
248,1,1994-06-13 11:06:08,1994-06-13 11:06:08,InProgress
249,5,1973-05-29 05:29:49,1973-05-29 05:29:49,InProgress
250,1,1994-06-14 05:12:45,1994-06-14 05:12:45,Cancelled
251,7,1991-03-31 20:11:28,1991-03-31 20:11:28,Cancelled
252,9,2013-01-06 16:27:14,2013-01-06 16:27:14,Completed
253,7,1972-05-31 21:38:23,1972-05-31 21:38:23,Completed
254,3,2001-11-02 00:21:33,2001-11-02 00:21:33,InProgress
255,8,1973-03-22 13:17:32,1973-03-22 13:17:32,InProgress
256,9,2000-11-27 04:45:50,2000-11-27 04:45:50,Cancelled
257,5,2015-02-22 19:08:03,2015-02-22 19:08:03,Cancelled
258,1,1986-11-08 11:38:15,1986-11-08 11:38:15,Cancelled
259,9,1985-03-12 01:06:09,1985-03-12 01:06:09,InProgress
260,7,2000-09-19 22:00:02,2000-09-19 22:00:02,Completed
261,9,2000-06-11 21:39:58,2000-06-11 21:39:58,InProgress
262,5,2014-11-03 21:15:22,2014-11-03 21:15:22,Cancelled
263,4,1972-09-18 19:54:16,1972-09-18 19:54:16,Cancelled
264,6,1985-09-15 03:17:24,1985-09-15 03:17:24,InProgress
265,5,1983-06-03 20:53:11,1983-06-03 20:53:11,Completed
266,8,1980-08-01 09:12:52,1980-08-01 09:12:52,Cancelled
267,10,2000-03-03 20:36:14,2000-03-03 20:36:14,Completed
268,10,1971-07-28 05:34:14,1971-07-28 05:34:14,Completed
269,4,2010-12-06 08:15:04,2010-12-06 08:15:04,InProgress
270,4,2018-12-02 00:39:45,2018-12-02 00:39:45,InProgress
271,5,2000-03-08 02:45:35,2000-03-08 02:45:35,InProgress
272,5,1987-05-05 05:07:34,1987-05-05 05:07:34,Completed
273,8,1998-06-21 11:55:41,1998-06-21 11:55:41,Cancelled
274,8,1987-04-12 08:46:07,1987-04-12 08:46:07,InProgress
275,1,1992-10-11 14:36:43,1992-10-11 14:36:43,Cancelled
276,3,1974-01-29 17:42:36,1974-01-29 17:42:36,Completed
277,8,1972-07-17 23:14:17,1972-07-17 23:14:17,InProgress
278,1,1995-11-24 00:15:12,1995-11-24 00:15:12,Cancelled
279,6,2007-10-04 19:20:25,2007-10-04 19:20:25,Completed
280,4,2003-06-20 16:15:38,2003-06-20 16:15:38,Completed
281,10,2017-04-27 03:04:11,2017-04-27 03:04:11,InProgress
282,2,1984-03-14 11:46:05,1984-03-14 11:46:05,Cancelled
283,9,1976-08-30 04:12:23,1976-08-30 04:12:23,InProgress
284,9,2007-05-23 07:15:04,2007-05-23 07:15:04,InProgress
285,3,1987-06-25 12:13:28,1987-06-25 12:13:28,InProgress
286,1,1971-12-12 10:46:28,1971-12-12 10:46:28,Cancelled
287,5,2002-04-24 03:06:41,2002-04-24 03:06:41,Cancelled
288,7,1991-02-02 04:44:22,1991-02-02 04:44:22,Cancelled
289,7,1991-11-29 15:15:15,1991-11-29 15:15:15,Cancelled
290,7,1979-10-02 13:56:16,1979-10-02 13:56:16,Completed
291,4,1995-01-02 23:34:18,1995-01-02 23:34:18,Completed
292,6,2011-07-29 16:51:00,2011-07-29 16:51:00,Completed
293,1,1987-01-08 07:07:30,1987-01-08 07:07:30,Completed
294,4,2020-09-08 09:24:33,2020-09-08 09:24:33,Completed
295,5,1997-03-08 17:29:46,1997-03-08 17:29:46,Cancelled
296,8,2017-10-24 19:57:00,2017-10-24 19:57:00,Cancelled
297,6,2006-04-07 17:21:18,2006-04-07 17:21:18,Completed
298,5,1994-04-28 23:05:50,1994-04-28 23:05:50,Cancelled
299,5,1977-08-17 13:56:29,1977-08-17 13:56:29,Completed
300,8,2016-07-01 10:09:34,2016-07-01 10:09:34,Completed
301,10,1995-11-06 12:46:11,1995-11-06 12:46:11,Completed
302,4,1982-08-01 16:04:01,1982-08-01 16:04:01,Completed
303,2,2010-09-01 01:10:13,2010-09-01 01:10:13,Completed
304,8,1979-06-12 18:02:24,1979-06-12 18:02:24,Cancelled
305,4,2012-03-08 08:14:59,2012-03-08 08:14:59,Completed
306,5,1988-01-04 20:51:30,1988-01-04 20:51:30,InProgress
307,5,1979-02-15 03:52:08,1979-02-15 03:52:08,Completed
308,7,1983-06-29 04:36:18,1983-06-29 04:36:18,InProgress
309,5,2000-12-25 02:09:16,2000-12-25 02:09:16,InProgress
310,10,1973-04-07 17:06:50,1973-04-07 17:06:50,Cancelled
311,9,1970-05-20 06:48:48,1970-05-20 06:48:48,InProgress
312,7,2015-10-19 11:25:46,2015-10-19 11:25:46,InProgress
313,5,1993-04-20 02:18:45,1993-04-20 02:18:45,Cancelled
314,7,2004-12-08 13:43:11,2004-12-08 13:43:11,Cancelled
315,6,1975-09-06 19:13:38,1975-09-06 19:13:38,Cancelled
316,2,1976-09-07 00:10:33,1976-09-07 00:10:33,InProgress
317,9,2004-02-17 11:58:54,2004-02-17 11:58:54,InProgress
318,1,1986-09-07 15:33:56,1986-09-07 15:33:56,InProgress
319,10,1993-06-09 14:42:42,1993-06-09 14:42:42,InProgress
320,10,2006-04-23 01:17:13,2006-04-23 01:17:13,Completed
321,3,1975-07-02 05:43:17,1975-07-02 05:43:17,InProgress
322,9,1981-02-04 04:49:28,1981-02-04 04:49:28,Cancelled
323,6,2008-12-01 05:28:51,2008-12-01 05:28:51,Completed
324,6,2016-10-29 22:15:50,2016-10-29 22:15:50,Cancelled
325,1,1982-10-21 09:59:27,1982-10-21 09:59:27,Completed
326,4,2002-03-20 19:04:35,2002-03-20 19:04:35,Cancelled
327,9,2008-06-27 13:07:32,2008-06-27 13:07:32,Completed
328,3,2003-02-08 04:18:35,2003-02-08 04:18:35,InProgress
329,10,1986-02-20 13:15:50,1986-02-20 13:15:50,InProgress
330,10,1976-04-21 13:23:42,1976-04-21 13:23:42,InProgress
331,6,1983-03-24 04:14:14,1983-03-24 04:14:14,Cancelled
332,8,1985-09-03 23:25:25,1985-09-03 23:25:25,InProgress
333,2,2016-02-06 15:10:27,2016-02-06 15:10:27,Cancelled
334,4,2012-02-02 06:33:27,2012-02-02 06:33:27,InProgress
335,6,1981-10-31 00:54:11,1981-10-31 00:54:11,Completed
336,1,1977-01-24 01:58:24,1977-01-24 01:58:24,Completed
337,3,1975-11-18 02:07:16,1975-11-18 02:07:16,Cancelled
338,9,1982-09-14 22:43:22,1982-09-14 22:43:22,InProgress
339,9,1996-07-19 12:32:46,1996-07-19 12:32:46,Cancelled
340,5,2019-05-24 03:17:51,2019-05-24 03:17:51,InProgress
341,5,1974-01-31 11:04:47,1974-01-31 11:04:47,InProgress
342,3,1990-08-24 04:04:12,1990-08-24 04:04:12,InProgress
343,9,2017-09-14 21:22:26,2017-09-14 21:22:26,InProgress
344,7,1977-10-30 09:07:10,1977-10-30 09:07:10,Cancelled
345,5,2014-11-19 02:02:31,2014-11-19 02:02:31,Completed
346,3,1980-04-09 20:29:38,1980-04-09 20:29:38,Completed
347,6,2000-10-04 15:00:59,2000-10-04 15:00:59,Completed
348,10,1993-04-05 01:15:36,1993-04-05 01:15:36,Cancelled
349,3,1989-11-09 16:45:16,1989-11-09 16:45:16,Cancelled
350,1,1988-06-15 19:04:57,1988-06-15 19:04:57,Completed
351,7,1971-01-02 19:32:51,1971-01-02 19:32:51,Completed
352,9,1996-10-09 00:58:37,1996-10-09 00:58:37,Cancelled
353,7,2012-05-25 14:58:37,2012-05-25 14:58:37,Cancelled
354,6,1988-02-16 20:35:32,1988-02-16 20:35:32,Completed
355,7,1972-07-16 00:05:01,1972-07-16 00:05:01,Cancelled
356,2,1977-11-26 19:48:43,1977-11-26 19:48:43,InProgress
357,6,2021-03-08 18:57:18,2021-03-08 18:57:18,Cancelled
358,10,1992-01-07 13:32:08,1992-01-07 13:32:08,Cancelled
359,9,1989-04-20 11:03:06,1989-04-20 11:03:06,InProgress
360,10,1976-04-10 02:44:39,1976-04-10 02:44:39,InProgress
361,6,2016-03-23 08:53:08,2016-03-23 08:53:08,Cancelled
362,9,1972-06-03 11:43:23,1972-06-03 11:43:23,Completed
363,1,2021-04-07 19:50:04,2021-04-07 19:50:04,Completed
364,9,2017-11-17 02:59:49,2017-11-17 02:59:49,InProgress
365,2,1983-05-11 17:20:50,1983-05-11 17:20:50,InProgress
366,7,1981-05-01 10:58:04,1981-05-01 10:58:04,InProgress
367,4,1972-05-25 21:27:41,1972-05-25 21:27:41,InProgress
368,1,2002-01-13 14:14:48,2002-01-13 14:14:48,Completed
369,2,2020-11-06 21:18:26,2020-11-06 21:18:26,Completed
370,6,2017-06-08 06:15:41,2017-06-08 06:15:41,Completed
371,7,2012-06-18 07:33:25,2012-06-18 07:33:25,Cancelled
372,9,1995-01-17 21:19:17,1995-01-17 21:19:17,Completed
373,9,2001-12-21 21:41:41,2001-12-21 21:41:41,Completed
374,2,2012-05-06 12:45:18,2012-05-06 12:45:18,Cancelled
375,10,1984-04-07 01:54:16,1984-04-07 01:54:16,InProgress
376,2,2001-07-28 13:59:01,2001-07-28 13:59:01,Completed
377,5,1983-10-28 18:11:32,1983-10-28 18:11:32,InProgress
378,3,1993-06-10 19:44:08,1993-06-10 19:44:08,Completed
379,9,1996-08-29 20:21:29,1996-08-29 20:21:29,Cancelled
380,1,1976-07-24 09:24:06,1976-07-24 09:24:06,Cancelled
381,10,1991-11-13 00:31:55,1991-11-13 00:31:55,Completed
382,2,1999-06-14 20:04:10,1999-06-14 20:04:10,InProgress
383,6,1996-09-11 06:43:14,1996-09-11 06:43:14,Cancelled
384,3,2017-02-01 16:19:56,2017-02-01 16:19:56,Cancelled
385,8,1998-09-19 23:40:07,1998-09-19 23:40:07,Cancelled
386,8,1972-04-24 09:57:01,1972-04-24 09:57:01,Cancelled
387,8,1991-01-29 05:06:59,1991-01-29 05:06:59,InProgress
388,6,2010-01-23 23:01:14,2010-01-23 23:01:14,InProgress
389,9,2004-03-22 04:59:23,2004-03-22 04:59:23,Cancelled
390,1,1986-02-10 17:00:37,1986-02-10 17:00:37,Completed
391,5,1984-12-14 17:23:27,1984-12-14 17:23:27,Completed
392,4,1998-10-17 14:04:12,1998-10-17 14:04:12,Cancelled
393,6,1992-02-20 06:19:09,1992-02-20 06:19:09,InProgress
394,1,2018-03-17 06:40:02,2018-03-17 06:40:02,Cancelled
395,6,1983-01-21 12:23:58,1983-01-21 12:23:58,Cancelled
396,10,1972-11-26 21:16:43,1972-11-26 21:16:43,Cancelled
397,10,1989-01-29 18:04:37,1989-01-29 18:04:37,Cancelled
